±¸ºÐ,1,2,3,4,5,6,7,8,9,10,11,12
1,91580,92500,90400,102430,91280,115944,96000,104960,109280,98270,97540,104700
2,95600,93520,94680,92120,93680,100240,103110,102000,104720,99120,98670,103360
3,92480,94400,93640,95410,81520,105480,110200,109600,130320,102030,102280,105110
4,95440,100290,95200,92320,84960,96080,102840,124320,149970,109230,102580,117460
5,93440,103520,100240,91320,88200,100920,101360,132200,156010,112730,105850,134810
6,91760,98640,102400,92760,83520,102600,101040,131880,140290,117810,102760,134370
7,92280,101280,96320,89980,88810,96120,104800,131160,132260,118220,98810,134130
8,93640,102080,96160,88880,86800,98400,110840,130880,135600,117340,100930,132150
9,96080,97800,101880,121400,85760,100795,111040,130210,130690,115710,103400,132670
10,94120,93800,110200,135760,82720,99600,102800,132080,126360,125500,104100,131050
11,94000,95440,94880,122600,85560,93160,108840,132320,127080,119050,101970,135740
12,96440,92160,103200,129760,88520,101880,101200,132360,125440,119220,105410,132380
13,95760,95660,117600,122920,83880,101480,105520,132360,129180,115710,106770,128470
14,92300,96240,119480,111860,91480,98520,119680,135600,128180,117390,107770,133200
15,99080,94340,121600,121330,85680,98200,126240,129040,130310,121800,105920,137650
16,97680,91120,122440,119160,85040,103840,131800,132160,136380,131900,103060,143420
17,110050,109080,125760,107720,92920,112240,129360,119080,133890,149350,115890,135210
18,124160,121040,124120,85640,97320,121480,125120,102000,131470,148470,128160,135950
19,120080,116160,125240,78040,123120,124607,127160,106920,131940,146940,130210,133070
20,123960,124970,125240,87400,107560,124600,127400,99240,132660,144240,127570,135170
21,122200,127800,125760,87080,117240,126400,131448,104080,138130,130250,133790,134160
22,123600,120640,122760,83800,124960,136200,131000,104040,125800,138990,126950,136210
23,119880,123850,115120,101600,126360,136280,128640,101560,109580,125520,129980,129610
24,120120,121950,94800,89160,128880,124280,125720,105720,108390,122970,131860,136180
25,119760,121920,92760,79880,125000,128160,129120,107760,102410,127200,135240,134980
26,118760,123600,95360,79760,119040,131840,130220,105840,103000,126350,133780,132090
27,125840,126840,92520,72880,123840,131400,121960,104800,97150,128690,129740,134030
28,125160,116160,98160,81120,123560,120200,103720,109040,104540,127240,135710,144890
29,110230,121980,99320,79800,123100,127120,103800,105360,105230,124460,128790,123030
30,108000,,116120,97600,123920,120400,103280,102640,102910,115550,125140,104000
31,99120,,131040,,123160,,103080,106240,,96450,,105510
