"col1","col2","output","move"
"행정구역(시군구)별","총전입 (명)","총전출 (명)","순이동 (명)"
"전국","7735491","7735491","0"
"서울특별시","1578127","1642977","-64850"
"종로구","23632","25254","-1622"
"중구","20777","21733","-956"
"용산구","40282","38985","1297"
"성동구","45153","53096","-7943"
"광진구","55926","60703","-4777"
"동대문구","54908","58135","-3227"
"중랑구","60214","62212","-1998"
"성북구","62953","68231","-5278"
"강북구","41625","46656","-5031"
"도봉구","40435","47892","-7457"
"노원구","68176","77707","-9531"
"은평구","76364","76165","199"
"서대문구","56504","53579","2925"
"마포구","66215","68667","-2452"
"양천구","64081","68021","-3940"
"강서구","87198","99573","-12375"
"구로구","60885","64024","-3139"
"금천구","35753","36963","-1210"
"영등포구","79309","68526","10783"
"동작구","64496","69650","-5154"
"관악구","98301","103226","-4925"
"서초구","71250","77669","-6419"
"강남구","95325","101582","-6257"
"송파구","106928","116457","-9529"
"강동구","101437","78271","23166"
"부산광역시","491829","506176","-14347"
"중  구","6566","6665","-99"
"서  구","16174","15589","585"
"동  구","14837","13607","1230"
"영도구","10490","12969","-2479"
"부산진구","59819","56796","3023"
"동래구","40780","41028","-248"
"남  구","37433","43376","-5943"
"북  구","29907","36662","-6755"
"해운대구","60260","63938","-3678"
"사하구","33190","41581","-8391"
"금정구","31899","37151","-5252"
"강서구","28672","21036","7636"
"연제구","33468","33450","18"
"수영구","34584","33405","1179"
"사상구","21072","25928","-4856"
"기장군","32678","22995","9683"
"대구광역시","347248","364083","-16835"
"중  구","14941","15641","-700"
"동  구","49790","52665","-2875"
"서  구","20740","24344","-3604"
"남  구","25285","25897","-612"
"북  구","64203","61656","2547"
"수성구","63828","67298","-3470"
"달서구","74041","83810","-9769"
"달성군","34420","32772","1648"
"인천광역시","444556","460304","-15748"
"중  구","26647","22189","4458"
"동  구","7011","8611","-1600"
"남  구","0","0","0"
"미추홀구","64320","68529","-4209"
"연수구","84639","64941","19698"
"남동구","74074","81724","-7650"
"부평구","62004","78593","-16589"
"계양구","35187","41671","-6484"
"서구","79311","83273","-3962"
"강화군","8121","7531","590"
"옹진군","3242","3242","0"
"광주광역시","226163","232246","-6083"
"동  구","21831","17236","4595"
"서  구","43395","47637","-4242"
"남  구","30491","33589","-3098"
"북  구","68148","71019","-2871"
"광산구","62298","62765","-467"
"대전광역시","232321","243418","-11097"
"동  구","33434","36557","-3123"
"중  구","32777","36979","-4202"
"서  구","77480","81315","-3835"
"유성구","61454","61016","438"
"대덕구","27176","27551","-375"
"울산광역시","136112","149696","-13584"
"중구","23690","29529","-5839"
"남구","47467","51525","-4058"
"동구","16350","19402","-3052"
"북구","25201","25139","62"
"울주군","23404","24101","-697"
"세종특별자치시","78934","65909","13025"
"세종특별자치시","78934","65909","13025"
"경기도","2152572","1984199","168373"
"수원시","168204","179518","-11314"
"성남시","152795","156393","-3598"
"의정부시","78645","68714","9931"
"안양시","79982","97945","-17963"
"부천시","95110","107685","-12575"
"광명시","46812","65102","-18290"
"평택시","103098","80080","23018"
"동두천시","13345","13385","-40"
"안산시","117075","114020","3055"
"고양시","171708","159355","12353"
"과천시","15066","10277","4789"
"구리시","29851","31794","-1943"
"남양주시","93021","81925","11096"
"오산시","34691","32145","2546"
"시흥시","98504","73126","25378"
"군포시","37273","39844","-2571"
"의왕시","29486","27047","2439"
"하남시","63586","43486","20100"
"용인시","167745","155052","12693"
"파주시","75882","64593","11289"
"이천시","31253","28787","2466"
"안성시","27891","23902","3989"
"김포시","111331","76160","35171"
"화성시","155727","119562","36165"
"양주시","38466","30278","8188"
"광주시","54712","46135","8577"
"포천시","17883","18315","-432"
"여주시","14113","12939","1174"
"양주군","0","0","0"
"여주군","0","0","0"
"화성군","0","0","0"
"파주군","0","0","0"
"광주군","0","0","0"
"연천군","5231","5338","-107"
"포천군","0","0","0"
"가평군","7288","6939","349"
"양평군","16798","14358","2440"
"이천군","0","0","0"
"용인군","0","0","0"
"안성군","0","0","0"
"김포군","0","0","0"
"강원도","223354","217897","5457"
"춘천시","46268","44586","1682"
"원주시","59935","54774","5161"
"강릉시","31595","30983","612"
"동해시","12978","12623","355"
"태백시","4330","5282","-952"
"속초시","14860","13785","1075"
"삼척시","7153","8870","-1717"
"홍천군","7368","6820","548"
"횡성군","4832","4581","251"
"영월군","3786","3971","-185"
"평창군","4031","4167","-136"
"정선군","3516","3669","-153"
"철원군","4372","5182","-810"
"화천군","3667","3679","-12"
"양구군","2821","3284","-463"
"인제군","4823","4789","34"
"고성군","3171","3438","-267"
"양양군","3848","3414","434"
"충청북도","229895","226441","3454"
"청주시","136888","132403","4485"
"충주시","29948","29887","61"
"제천시","15958","17060","-1102"
"청원군","0","0","0"
"보은군","2943","3051","-108"
"옥천군","4099","4174","-75"
"영동군","4518","5326","-808"
"증평군","4062","4567","-505"
"진천군","12291","9705","2586"
"괴산군","6360","5725","635"
"음성군","10555","11930","-1375"
"단양군","2273","2613","-340"
"충청남도","287127","286386","741"
"천안시","108656","103959","4697"
"공주시","12978","14252","-1274"
"보령시","13571","13892","-321"
"아산시","45651","44441","1210"
"서산시","22595","21659","936"
"논산시","12891","14277","-1386"
"계룡시","8738","8893","-155"
"당진시","20823","21472","-649"
"금산군","4661","5024","-363"
"연기군","0","0","0"
"논산군","0","0","0"
"부여군","5341","6014","-673"
"서천군","4433","4821","-388"
"청양군","2954","3339","-385"
"홍성군","10504","10487","17"
"예산군","7249","7697","-448"
"태안군","6082","6159","-77"
"당진군","0","0","0"
"전라북도","249083","257577","-8494"
"전주시","107423","104277","3146"
"군산시","40013","41781","-1768"
"익산시","34814","39411","-4597"
"정읍시","13017","14149","-1132"
"남원시","10765","10952","-187"
"김제시","9078","9722","-644"
"완주군","11482","11729","-247"
"진안군","2565","2698","-133"
"무주군","2142","2134","8"
"장수군","1914","2096","-182"
"임실군","2789","4133","-1344"
"순창군","2913","3265","-352"
"고창군","5005","5451","-446"
"부안군","5163","5779","-616"
"전라남도","239016","248770","-9754"
"목포시","35366","40621","-5255"
"여수시","38167","40171","-2004"
"순천시","42742","40029","2713"
"나주시","18111","16879","1232"
"여천시","0","0","0"
"광양시","17189","22419","-5230"
"담양군","5596","5543","53"
"곡성군","2599","3077","-478"
"구례군","2893","3481","-588"
"여천군","0","0","0"
"고흥군","5627","5827","-200"
"보성군","3562","4003","-441"
"화순군","6441","6267","174"
"장흥군","3307","3791","-484"
"강진군","3262","3627","-365"
"해남군","5431","6422","-991"
"영암군","5772","6370","-598"
"무안군","17995","12658","5337"
"함평군","2811","3264","-453"
"영광군","4926","5593","-667"
"장성군","5698","6715","-1017"
"완도군","4055","4427","-372"
"진도군","3846","3064","782"
"신안군","3620","4522","-902"
"경상북도","317701","334679","-16978"
"포항시","61001","64528","-3527"
"경주시","29067","29929","-862"
